"alias","entity_id"
"Іллінці",1
"Бар",2
"Бершадь",3
"Вінниця",4
"Гайсин",5
"Гнівань",6
"Жмеринка",7
"Калинівка",8
"Козятин",9
"Крижопіль",10
"Літин",11
"Ладижин",12
"Липовець",13
"Могилів-Подільський",14
"Муровані Курилівці",15
"Немирів",16
"Оратів",17
"Піщанка",18
"Погребище",19
"Теплик",20
"Тиврів",21
"Томашпіль",22
"Тростянець",23
"Тульчин",24
"Хмільник",25
"Чернівці",26
"Чечельник",27
"Шаргород",28
"Ямпіль",29
"Іваничі",30
"Володимир-Волинський",31
"Горохів",32
"Ківерці",33
"Камінь-Каширський",34
"Ковель",35
"Локачі",36
"Луцьк",37
"Любешів",38
"Любомль",39
"Маневичі",40
"Нововолинськ",41
"Ратне",42
"Рожище",43
"Стара Вижівка",44
"Турійськ",45
"Шацьк",46
"Апостолове",47
"Вільногірськ",48
"Васильківка",49
"Верхньодніпровськ",50
"Дніпро",51
"Жовті води",52
"Кам'янське",53
"Кривий Ріг",54
"Кринички",55
"Магдалинівка",56
"Марганець",57
"Межова",58
"Нікополь",59
"Новомосковськ",60
"Орджонікідзе",61
"П'ятихатки",62
"Павлоград",63
"Першотравенськ",64
"Петриківка",65
"Петропавлівка",66
"Покровське",67
"Синельникове",68
"Солоне",69
"Софіївка",70
"Тернівка",71
"Томаківка",72
"Царичанка",73
"Широке",74
"Юр'ївка",75
"Авдєєвка",76
"Амвросіївка",77
"Артемівськ",78
"Велика Новосілка",79
"Волноваха",80
"Володарське",81
"Вугледар",82
"Дзержинськ",83
"Димитров",84
"Добропілля",85
"Дружківка",86
"Кіровське",87
"Костянтинівка",88
"Краматорськ",89
"Красний Лиман",90
"Красноармійськ",91
"Мангуш",92
"Мар'їнка",93
"Маріуполь",94
"Новоазовськ",95
"Новогродівка",96
"Олександрівка",97
"Селидове",98
"Слов'янськ",99
"Старобешеве",100
"Тельманове",101
"Торез",102
"Ємільчине",103
"Андрушівка",104
"Баранівка",105
"Бердичів",106
"Брусилів",107
"Володарськ-Волинський",108
"Житомир",109
"Коростень",110
"Коростишів",111
"Лугини",112
"Любар",113
"Малин",114
